Cluster,curDA_grp,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
KAT5_vs_eGFP,KAT5_vs_eGFP:Opened,GO:0032279,asymmetric synapse,11/175,462/28585,0.00013941,0.007319036,0.006090025,Kalrn/Cacng7/Sorcs3/Gap43/Epb41l3/Grip1/Dgkb/Neurl1a/Arrb1/Fam81a/Gng3,11
KAT5_vs_eGFP,KAT5_vs_eGFP:Opened,GO:0045211,postsynaptic membrane,9/175,348/28585,0.00031103,0.011682982,0.009721178,Cacng7/Sorcs3/Grip1/Dgkb/Kcna3/Gabbr2/Arrb1/Syne1/Itga3,9
KAT5_vs_eGFP,KAT5_vs_eGFP:Opened,GO:0016607,nuclear speck,9/175,354/28585,0.000352271,0.011682982,0.009721178,Srpk1/Cdk13/Mecom/Lmna/E2f7/Cdc25c/Vps72/Pip5k1a/Rad54l2,9
KAT5_vs_eGFP,KAT5_vs_eGFP:Opened,GO:0005912,adherens junction,6/175,153/28585,0.000370888,0.011682982,0.009721178,Rnd1/Kifc3/Arvcf/Plekha7/Efna5/Ezr,6
KAT5_vs_eGFP,KAT5_vs_eGFP:Opened,GO:0097440,apical dendrite,3/175,30/28585,0.000810847,0.022089118,0.018379917,Slc4a10/Ykt6/Neurl1a,3
KAT5_vs_eGFP,KAT5_vs_eGFP:Opened,GO:0071339,MLL1 complex,3/175,31/28585,0.000893703,0.022089118,0.018379917,Taf4/Taf1/Senp3,3
KAT5_vs_eGFP,KAT5_vs_eGFP:Opened,GO:0048786,presynaptic active zone,5/175,122/28585,0.00094502,0.022089118,0.018379917,Rimbp2/Grip1/Slc17a7/Itga3/Ppfia1,5
KAT5_vs_eGFP,KAT5_vs_eGFP:Opened,GO:0044665,MLL1/2 complex,3/175,32/28585,0.000981739,0.022089118,0.018379917,Taf4/Taf1/Senp3,3
KAT5_vs_eGFP,KAT5_vs_eGFP:Opened,GO:0098858,actin-based cell projection,6/175,232/28585,0.003142712,0.061872152,0.051482593,Gap43/Nherf1/Cfl1/Pcdh15/Ezr/Itga3,6
KAT5_vs_eGFP,KAT5_vs_eGFP:Opened,GO:0031253,cell projection membrane,7/175,325/28585,0.004008605,0.069441813,0.057781158,Gap43/Epb41l3/Nherf1/Ezr/Itga3/Dlc1/Pip5k1a,7
KAT5_vs_eGFP,KAT5_vs_eGFP:Opened,GO:1990351,transporter complex,8/175,415/28585,0.004188554,0.069441813,0.057781158,Cacng7/Kcnk4/Scnn1b/Pex12/Kcna3/Atp8a2/Slc17a7/Kcnq2,8
KAT5_vs_eGFP,KAT5_vs_eGFP:Opened,GO:0005925,focal adhesion,5/175,174/28585,0.004436393,0.069873196,0.058140103,Cfl1/Sorbs3/Ezr/Dlc1/Ppfia1,5
KAT5_vs_eGFP,KAT5_vs_eGFP:Opened,GO:0034703,cation channel complex,5/175,194/28585,0.006978023,0.091586556,0.07620736,Cacng7/Kcnk4/Scnn1b/Kcna3/Kcnq2,5
